ags,municipality,airport,conveyance_capacity_inland_pkm,transport_capacity_inland_tkm,flight_kilometer_inland_km,flight_kilometer_share_inland,eev_kerosene_inland_mwh,eev_petrol_inland_mwh,ghg_inland_tco2e,conveyance_capacity_overseas_pkm,transport_capacity_overseas_tkm,flight_kilometer_overseas_km,flight_kilometer_share_overseas,eev_kerosene_overseas_mwh,ghg_overseas_tco2e,sum_ghg_tco2e
05374004,Bergneustadt,Bergneustadt Auf d. Dümpel,98052.58403,11.67292667,7313.116574,0.002334585,547.1690435,7.2326494,146.1229233,0,0,0,0,0,0,146.1229233
05374052,Wipperfürth,Wipperfürth-Neye,80007.34774,9.524684255,5967.237545,0.001904937,446.4700688,5.901579253,119.2309989,0,0,0,0,0,0,119.2309989
05382056,Sankt Augustin,Bonn/Hangelar,729839.8599,86.88569761,54434.09808,0.01737714,4072.771585,53.83515261,1087.644297,0,0,0,0,0,0,1087.644297
05554012,Borken,Borken-Hoxfeld,96865.64146,11.53162398,7224.590101,0.002306325,540.5454728,7.145096996,144.3540814,0,0,0,0,0,0,144.3540814
05554056,Stadtlohn,Stadtlohn-Wenningfeld,360793.4499,42.95160118,26909.28122,0.00859032,2013.358535,26.6131949,537.6726593,0,0,0,0,0,0,537.6726593
05558024,Lüdinghausen,Borkenberge,254302.446,30.27410072,18966.79676,0.00605482,1419.100043,18.75810262,378.9743757,0,0,0,0,0,0,378.9743757
05566012,Greven,Münster/Osnabrück,79343360.23,1040.876218,1514997.049,0.021807065,113352.4234,1498.327339,30271.06095,691000000,5000,5437841,0.003719856,421657.0499,111200.0719,141471.1328
05566076,Rheine,Rheine-Eschendorf,79840.43394,9.504813564,5954.78851,0.001900963,445.5386292,5.889267196,118.9822555,0,0,0,0,0,0,118.9822555
05570004,Ahlen,Ahlen-Nord,14373.13271,1.711087227,1072.000254,0.000342217,80.20730258,1.060204896,21.4195698,0,0,0,0,0,0,21.4195698
05570028,Oelde,Oelde-Bergeler,6435.454257,0.766125507,479.9794687,0.000153225,35.9121729,0.474698192,9.590439641,0,0,0,0,0,0,9.590439641
05570044,Telgte,Münster-Telgte,358697.7544,42.70211362,26752.97667,0.008540423,2001.663793,26.45861018,534.5495478,0,0,0,0,0,0,534.5495478
05711000,Bielefeld,Bielefeld,158753.569,18.8992344,11840.41571,0.003779847,885.9025937,11.71013408,236.5826032,0,0,0,0,0,0,236.5826032
05762020,Höxter,Höxter-Holzminden,59087.48491,7.034224394,4406.958465,0.001406845,329.7296336,4.358468127,88.0551605,0,0,0,0,0,0,88.0551605
05766020,Detmold,Detmold,40448.77733,4.815330635,3016.8162,0.000963066,225.7188735,2.983621778,60.27881515,0,0,0,0,0,0,60.27881515
05766056,Oerlinghausen,Oerlinghausen ,468582.6722,55.78365146,34948.59152,0.01115673,2614.861557,34.56404762,698.3056137,0,0,0,0,0,0,698.3056137
05770032,Porta Westfalica,Porta Westfalica,158271.3736,18.84183019,11804.45183,0.003768366,883.211768,11.67456591,235.8640112,0,0,0,0,0,0,235.8640112
05774016,Büren,Paderborn/Lippstadt,32166283.24,19.79562333,988990.0055,0.012897476,73996.45691,978.1080197,19760.94723,631000000,103000,4466000,0.00305505,346299.273,91326.59836,111087.5456
