ags,chem_ammonia,chem_basic,chem_other,metal_nonfe,metal_steel_primary,metal_steel_secondary,miner_cement,miner_ceram,miner_chalk,miner_glas,other_food,other_further,other_paper,sum,count_chem_ammonia,count_chem_basic,count_chem_other,count_metal_nonfe,count_metal_steel_primary,count_metal_steel_secondary,count_miner_cement,count_miner_ceram,count_miner_chalk,count_miner_glas,count_other_food,count_other_further,count_other_paper,count_sum
05117000,0.0,0.0,0.0,0.0,0.0,59001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
05119000,0.0,234285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.0,0.0,235266,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5
05124000,0.0,0.0,55890.0,0.0,0.0,0.0,0.0,0.0,243056.0,0.0,0.0,0.0,0.0,298946,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
05154008,0.0,73010.0,0.0,16060.0,0.0,0.0,0.0,12854.0,0.0,0.0,0.0,0.0,0.0,101924,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5
05154020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690.0,0.0,0.0,3690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
05154024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45114.0,0.0,0.0,45114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
05158004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23380.0,0.0,23380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
05158036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1941442.0,0.0,0.0,0.0,0.0,1941442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
05162004,0.0,84177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84177,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
05162008,0.0,0.0,0.0,62193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62193,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
05162024,0.0,0.0,0.0,621698.0,0.0,0.0,0.0,0.0,0.0,0.0,39170.0,0.0,146789.0,807657,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7
05166004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19645.0,0.0,0.0,0.0,0.0,0.0,19645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2
05170024,0.0,249630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249630,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
05170032,0.0,172845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172845,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
05170036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8856.0,0.0,0.0,0.0,0.0,0.0,8856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
05170044,0.0,0.0,0.0,192074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192074,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
05314000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33393.0,0.0,0.0,0.0,33393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
05315000,597789.0,2713609.0,28628.0,0.0,0.0,0.0,0.0,0.0,0.0,157478.0,0.0,16946.0,0.0,3514450,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,17
05316000,0.0,241105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241105,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
