ags,residential_buildings_total,buildings_1flat,buildings_2flats,buildings_3flats,buildings_dorms,residential_buildings_area_total
01057013,224,192,25,7,0,31.7
01057015,306,232,56,18,0,46.7
01057016,413,367,34,12,0,59.3
01057017,94,74,13,7,0,14.7
01057018,47,36,3,8,0,9
01057020,188,145,32,11,0,27.2
01057021,412,348,45,19,0,56
01057022,344,285,43,16,0,49.4
01057023,67,51,12,4,0,10.5
01057024,181,147,27,7,0,27.8
01057025,2680,2116,284,280,0,451.3
01057026,117,88,22,7,0,16.3
01057027,160,130,28,2,0,21.4
01057028,165,139,21,5,0,22.5
01057029,624,551,56,15,2,63.5
01057030,555,448,58,49,0,77.4
01057031,121,70,33,18,0,22.5
01057032,195,156,33,6,0,31.7
01057033,283,240,34,9,0,39.6
01057034,75,67,6,2,0,9.9
01057035,243,185,37,21,0,36.6
01057037,98,73,22,3,0,15
01057038,54,37,14,3,0,8.1
01057039,319,278,32,9,0,43.6
01057040,129,92,21,16,0,20.8
01057041,133,103,21,9,0,20.7
01057042,209,153,47,9,0,32.5
01057043,1594,1186,198,209,1,279.6
01057044,115,95,16,4,0,15.9
01057045,210,176,28,6,0,26.5
01057046,463,375,61,26,1,65.2
01057047,90,61,20,9,0,15.2
01057048,1404,1031,147,225,1,227.3
01057049,136,110,24,2,0,18.1
01057050,312,255,37,18,2,48.2
01057051,1286,1089,106,91,0,197.4
01057052,214,168,39,7,0,32.6
01057053,162,136,18,8,0,23.2
01057054,141,109,27,5,0,21.7
01057055,572,495,51,26,0,75.7
01057056,134,113,19,2,0,20.1
01057057,2266,1646,209,411,0,413.7
01057058,134,102,17,15,0,23.2
01057059,161,141,16,3,1,25.6
01057060,141,113,22,6,0,20.5
01057062,4484,3581,370,524,9,707.6
01057063,717,587,81,45,4,107.7
01057065,126,99,20,7,0,18.1
01057066,298,239,44,15,0,46.3
01057067,175,141,26,8,0,23.6
01057068,267,234,21,12,0,41
01057069,312,253,50,9,0,41.8
01057070,548,446,71,31,0,81.2
01057071,315,271,39,5,0,45.9
01057072,182,149,21,10,2,27.2
01057073,2064,1629,200,234,1,318.3
01057074,1991,1642,159,189,1,305.7
01057076,303,262,29,12,0,41.3
01057077,515,447,41,27,0,71.9
01057078,179,145,27,7,0,27.2
01057079,308,227,56,25,0,48.8
01057080,448,377,49,22,0,63.2
01057081,116,94,19,3,0,17.5
01057082,139,113,18,8,0,20.9
01057083,128,103,22,3,0,19.8
01057084,188,154,24,10,0,27.3
01057085,878,710,86,82,0,128.1
01057086,137,118,15,4,0,20.7
01057087,451,383,46,22,0,61.3
01057088,408,370,24,14,0,44.1
01057089,76,60,14,2,0,11.5
01057090,267,236,22,9,0,36.8
01057091,4093,3423,354,315,1,639.6
01058000,89273,72652,9408,7134,79,13758
01058001,379,332,39,8,0,54.2
01058003,682,565,88,29,0,95.1
01058004,111,84,23,3,1,16
01058005,2929,2550,196,174,9,494.7
01058007,109,97,11,1,0,15
01058008,353,296,41,16,0,50
01058009,1295,1082,141,70,2,187.6
01058010,60,51,9,0,0,8.6
01058011,273,228,38,6,1,39.3
01058012,578,502,56,20,0,77.7
01058013,112,95,16,1,0,15.6
01058014,167,145,18,4,0,23.4
01058015,283,245,30,8,0,40.7
01058016,52,39,8,5,0,8.1
01058018,235,179,43,13,0,35.4
01058019,108,76,23,9,0,15.8
01058021,236,205,29,2,0,32.4
01058022,2416,2018,200,197,1,382.9
01058023,130,102,22,6,0,18.2
01058024,582,487,71,23,1,83.7
01058025,64,57,3,4,0,8.8
01058026,389,343,40,6,0,53.5
01058027,147,131,12,4,0,20.5
01058028,534,478,44,11,1,76.6
01058029,507,416,69,22,0,72.7
01058030,427,360,45,22,0,57.9
01058031,56,52,3,1,0,7
01058032,431,373,41,16,1,51
01058033,385,329,41,13,2,53.8
01058034,2932,2172,303,457,0,502.4
01058035,312,276,27,9,0,38.3
01058036,97,87,8,2,0,12.9
01058037,1373,1216,108,49,0,196.8
01058038,203,165,24,14,0,31.1
01058039,151,121,18,12,0,20.8
01058040,948,849,52,44,3,136.6
01058042,276,226,25,24,1,38.1
01058043,5683,4030,496,1151,6,1039.4
01058044,204,171,24,9,0,30.8
01058045,142,134,4,4,0,16.9
01058046,187,158,20,9,0,26.5
01058047,593,492,80,21,0,87.9
01058048,85,75,9,1,0,12.1
01058049,524,440,68,15,1,72.7
01058050,820,720,73,24,3,115.8
01058051,429,361,54,14,0,58.4
01058052,796,670,81,44,1,108.9
01058053,2274,1924,176,172,2,348.7
01058054,2321,1927,297,95,2,348.5
01058055,18,16,1,1,0,2.5
01058056,139,112,25,2,0,22.1
01058057,186,157,22,7,0,24.7
01058058,2431,2091,182,157,1,362.7
01058059,458,394,52,12,0,64.3
01058061,224,191,26,6,1,29.6
01058062,96,85,9,2,0,12.8
01058063,62,44,8,10,0,10.9
01058064,124,106,10,7,1,18.2
01058065,357,286,45,26,0,52.8
01058066,473,388,57,28,0,69.7
01058067,180,147,19,13,1,30.6
01058068,193,162,26,4,1,28.5
01058069,198,160,29,9,0,28.9
01058070,514,434,72,8,0,75.6
01058071,154,131,16,7,0,23.7
01058072,1083,940,90,53,0,145.7
01058073,88,77,6,4,1,12.8
01058074,60,52,8,0,0,8.2
