ags,ars,municipality,port,inland_goods_transfer_t,inland_eev_diesel_mwh,inland_ghg_tco2e,overseas_goods_transfer_t,overseas_eev_fuel_mwh,overseas_ghg_tco2e,sum_ghg_tco2e
03461000,034610000000,Wesermarsch Landkreis,Wesermarsch Landkreis,33888.0,418.9008966864383,111.63591604442507,0.0,0.0,0.0,111.63591604442507
03462003,34625000000,Esens,Esens,0.0,0.0,0.0,84103.0,5627.784523713352,1539.761845687973,1539.761845687973
03462007,34620000000,Langeoog,Langeoog,0.0,0.0,0.0,84131.0,5629.658154459746,1540.2744710601864,1540.2744710601864
03462010,34625000000,Neuharlingersiel,Neuharlingersiel,0.0,0.0,0.0,10729.0,717.9351527878976,196.4270578027688,196.4270578027688
03462014,34620000000,Spiekeroog,Spiekeroog,0.0,0.0,0.0,1634.0,109.33973712884936,29.915352078453186,29.915352078453186
03462019,34620000000,Wittmund,Wittmund,0.0,0.0,0.0,16626.0,1112.535171055232,304.3896228007115,304.3896228007115
03462000,034620000000,Wittmund Landkreis,Wittmund Landkreis,0.0,0.0,0.0,197223.0,13197.252739145077,3610.7683494300927,3610.7683494300927
05111000,51110000000,Düsseldorf,Düsseldorf,1598730.0,19762.43598204407,5266.633854393995,0.0,0.0,0.0,5266.633854393995
05112000,51120000000,Duisburg,Duisburg,48129664.0,594946.866348471,158551.67403064173,0.0,0.0,0.0,158551.67403064173
05113000,51130000000,Essen,Essen,1542114.0,19062.58667943549,5080.125974826857,0.0,0.0,0.0,5080.125974826857
05114000,51140000000,Krefeld,Krefeld,3333386.0,41205.0986898613,10981.043426571703,0.0,0.0,0.0,10981.043426571703
05117000,51170000000,Mülheim an der Ruhr,Mülheim an der Ruhr,652343.0,8063.829899879638,2148.988089594204,0.0,0.0,0.0,2148.988089594204
05119000,51190000000,Oberhausen,Oberhausen,221254.0,2734.9946587423638,728.8684185697953,0.0,0.0,0.0,728.8684185697953
05154008,51540008008,Emmerich am Rhein,Emmerich am Rhein,990449.0,12243.271193997463,3262.7974920409806,0.0,0.0,0.0,3262.7974920409806
05154036,51540036036,Kleve,Kleve,1453446.0,17966.53188991138,4788.030442372091,0.0,0.0,0.0,4788.030442372091
05154044,51540044044,Rees,Rees,983509.0,12157.483533970202,3239.9353208491634,0.0,0.0,0.0,3239.9353208491634
05154000,051540000000,Kleve Kreis,Kleve Kreis,3427404.0,42367.28661787905,11290.763255262234,0.0,0.0,0.0,11290.763255262234
05162004,51620004004,Dormagen,Dormagen,2331795.0,28824.09750911689,7681.541278706625,0.0,0.0,0.0,7681.541278706625
05162024,51620024024,Neuss,Neuss,7656397.0,94643.2828342586,25222.16987413798,0.0,0.0,0.0,25222.16987413798
05162000,051620000000,Rhein-Kreis Neuss Kreis,Rhein-Kreis Neuss Kreis,9988192.0,123467.3803433755,32903.711152844604,0.0,0.0,0.0,32903.711152844604
05170012,5170,Hamminkeln,Kiesbaggereien Kreis Wesel,409514.6666666667,5062.147694550122,1349.0481865840627,0.0,0.0,0.0,1349.0481865840627
05170016,5170,Hünxe,Kiesbaggereien Kreis Wesel,204757.3333333333,2531.073847275061,674.5240932920314,0.0,0.0,0.0,674.5240932920314
05170020,5170,Kamp-Lintfort,Kiesbaggereien Kreis Wesel,819029.3333333334,10124.295389100243,2698.0963731681254,0.0,0.0,0.0,2698.0963731681254
05170028,5170,Neukirchen-Vluyn,Kiesbaggereien Kreis Wesel,204757.3333333333,2531.073847275061,674.5240932920314,0.0,0.0,0.0,674.5240932920314
05170040,5170,Sonsbeck,Kiesbaggereien Kreis Wesel,614272.0,7593.221541825183,2023.572279876094,0.0,0.0,0.0,2023.572279876094
05170044,51700044044,Voerde (Niederrhein),Voerde (Niederrhein),1010784.0,12494.638926944785,3329.786289041789,0.0,0.0,0.0,3329.786289041789
05170048,51700048048,Wesel,Wesel,3316403.666666667,40995.17439037,10925.099188545311,0.0,0.0,0.0,10925.099188545311
05170000,051700000000,Wesel Kreis,Wesel Kreis,6579518.333333334,81331.62563734045,21674.650503799443,0.0,0.0,0.0,21674.650503799443
05314000,53140000000,Bonn,Bonn,744735.0,9205.918298329045,2453.3514499334547,0.0,0.0,0.0,2453.3514499334547
05315000,53150000000,Köln,Köln,8859756.0,109518.40571361694,29186.34847114292,0.0,0.0,0.0,29186.34847114292
05316000,53160000000,Leverkusen,Leverkusen,2323988.0,28727.59257225337,7655.822983246321,0.0,0.0,0.0,7655.822983246321
05362040,53620040040,Wesseling,Wesseling,2023137.0,25008.67278740293,6664.741273559076,0.0,0.0,0.0,6664.741273559076
05362000,053620000000,Rhein-Erft-Kreis Kreis,Rhein-Erft-Kreis Kreis,2023137.0,25008.67278740293,6664.741273559076,0.0,0.0,0.0,6664.741273559076
05382044,53820044044,Niederkassel,Niederkassel,504230.0,6232.95559301826,1661.0652132637056,0.0,0.0,0.0,1661.0652132637056
05382000,053820000000,Rhein-Sieg-Kreis Kreis,Rhein-Sieg-Kreis Kreis,504230.0,6232.95559301826,1661.0652132637056,0.0,0.0,0.0,1661.0652132637056
05512000,55120000000,Bottrop,Bottrop,3027809.0,37427.75923911909,9974.393039499368,0.0,0.0,0.0,9974.393039499368
05513000,55130000000,Gelsenkirchen,Gelsenkirchen,3908141.0,48309.8373842373,12874.436395354564,0.0,0.0,0.0,12874.436395354564
05515000,55150000000,Münster,Münster,621397.0,7681.2960486975535,2047.0438893489616,0.0,0.0,0.0,2047.0438893489616
05562004,55620004004,Castrop-Rauxel,Castrop-Rauxel,322323.0,3984.3423548944415,1061.816081420775,0.0,0.0,0.0,1061.816081420775
